id,publicAddress,ensName,name,profilePicture,discussionThread,incentiveOptedIn,votingPower,discourseHandles,participationRate,participationRatePercent,totalParticipation,payment,bonusPoint,updated,snapshotVoting,onChainVoting,communicatingRationale,commentingProposal,securityCouncilVotePenalty,securityPenaltyBreakdown,votingPowerMultiplier,votingPowerAverage,votingPowerBreakdown,monthlyCalls,biweeklyCalls,delegateFeedback
19681,0x17296956b4e07ff8931e4ff4ea06709fab70b879,curia-delegates.eth,,,https://forum.arbitrum.foundation/t/curia-delegate-communication-thread/23600,FALSE,74993,"[""curia""]",19.00,95,70.76,3538,0,,"{""score"":""15.00"",""tn"":14,""rn"":14}","{""score"":""25.00"",""tn"":3,""rn"":3}","{""score"":""11.76"",""tn"":17,""rn"":8,""breakdown"":{""0x75d1aff7adb317bb629a334fba748fdd6ddac5ba1e64870b8abb4a12d6ed5a6f-https://forum.arbitrum.foundation/t/constitutional-extend-delay-on-l2time-lock/26470"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26470/16""},""0x92b4ac07fbadbb32c30f502880c4dfb1c4882c32d6ae84c2307f9f01dec079c7-"":{""status"":""not_posted"",""post"":null},""0xc6cb49223880ff49077d74260c44845ed18c3a1825a9a3941af454106f700c50-https://forum.arbitrum.foundation/t/delegate-to-a-public-access-public-good-citizen-enfranchisement-pool-through-event-horizon/21523?u=eventhorizondao"":{""status"":""not_posted"",""post"":null},""0x66812a5c91fe5f590965148c76f1ca609fdc5ded722544673c275a3b2ed94549-https://forum.arbitrum.foundation/t/arbitrum-dao-procurement-committee-phase-ii-proposal/26441"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26441/44""},""0xb761aeef86e9c7a12a7c7326f28cb10bd0d9d94a83041624dc5d03628c3f5c94-https://forum.arbitrum.foundation/t/rfc-pyth-network-arbitrum-ltipp-extension-request/26533/1"":{""status"":""not_posted"",""post"":null},""0x22f9e560d0a4aac46cc1e49ea71858d531226d0750409acdbfd766fa9c5eb1cb-https://forum.arbitrum.foundation/t/enhancing-multichain-governance-upgrading-rari-governance-token-on-arbitrum/26096"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26096/28""},""0x9db0ec7f1e6dbdaaa472eaabad7c69fac93d4453e01ce04f1971a4cbd3655ba4-https://forum.arbitrum.foundation/t/rfc-synthetix-ltip-grant-extension-request/26524/1"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26524/19""},""0xbe03044e4eeddfe838b719cffe234aced53238da1cef7f3e5e8c2a86aadcccb6-"":{""status"":""not_posted"",""post"":null},""0x785e8ed145d34ab4c9fea725cf0ce31267f90bc2ed4423e6e718c5e736e84c06-https://forum.arbitrum.foundation/t/rfc-aave-dao-ltipp-grant-extension-request/26612"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26612/31""},""0xffe9bb38228fdaf3d121140856fd2d51c2ca7f8e0d1021c07e791cebb541129a-https://forum.arbitrum.foundation/t/constitutional-aip-proposal-to-adopt-timeboost-a-new-transaction-ordering-policy/25167/1"":{""status"":""not_posted"",""post"":null},""0xd05fe5e629072098183d454fb5084715a19d5b3285af2b87c3dad7b61d614954-https://forum.arbitrum.foundation/t/non-constitutional-terms-of-tenure-for-step-program-manager/26675"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26675/31""},""0x8f242363dbc69d640799b461b27ba7b957ab13af87389b699639ba335b8b5e91-"":{""status"":""not_posted"",""post"":null},""0x41bc78325225705741c2eaebd9352bde74c2b28867e1a7321ccab0fa8fd5c2b7-https://forum.arbitrum.foundation/t/govhack-devcon-in-bangkok-hack-humanity/26634"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26634/52""},""0x852b7e7bc83db6c3628695816647bdeb9825d10e445a71dcc94e651b2f8a71b9-https://forum.arbitrum.foundation/t/non-constitutional-funds-to-bolster-foundation-s-strategic-partnerships-budget/26775"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26775/46""},""# Funds to bootstrap the first BoLD vali"":{""status"":""not_posted"",""post"":null},""# ARB Staking: Unlock ARB Utility and Al"":{""status"":""not_posted"",""post"":null},""# Delegate to Voter Enfranchisement Pool"":{""status"":""not_posted"",""post"":null}}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
17008,0x054becf10c79afa4e60f75b187837be9fb83867d,coinruay.eth,,,,FALSE,61752,[],19.00,95,59.00,2950,0,,"{""score"":""15.00"",""tn"":14,""rn"":14}","{""score"":""25.00"",""tn"":3,""rn"":3}","{""score"":""0.00"",""tn"":17,""rn"":0,""breakdown"":{}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
17055,0xababe91a907fadff921720c43abe4098e7245e99,cattin.seedlatam.eth,SEEDGov,,,FALSE,7389318,[],20.00,100,58.93,2946.5,0,,"{""score"":""13.93"",""tn"":14,""rn"":13}","{""score"":""25.00"",""tn"":3,""rn"":3}","{""score"":""0.00"",""tn"":17,""rn"":0,""breakdown"":{""# Funds to bootstrap the first BoLD vali"":{""status"":""not_posted"",""post"":null},""# ARB Staking: Unlock ARB Utility and Al"":{""status"":""not_posted"",""post"":null},""# Delegate to Voter Enfranchisement Pool"":{""status"":""not_posted"",""post"":null},""0x75d1aff7adb317bb629a334fba748fdd6ddac5ba1e64870b8abb4a12d6ed5a6f-https://forum.arbitrum.foundation/t/constitutional-extend-delay-on-l2time-lock/26470"":{""status"":""not_posted"",""post"":null},""0x92b4ac07fbadbb32c30f502880c4dfb1c4882c32d6ae84c2307f9f01dec079c7-"":{""status"":""not_posted"",""post"":null},""0xc6cb49223880ff49077d74260c44845ed18c3a1825a9a3941af454106f700c50-https://forum.arbitrum.foundation/t/delegate-to-a-public-access-public-good-citizen-enfranchisement-pool-through-event-horizon/21523?u=eventhorizondao"":{""status"":""not_posted"",""post"":null},""0x66812a5c91fe5f590965148c76f1ca609fdc5ded722544673c275a3b2ed94549-https://forum.arbitrum.foundation/t/arbitrum-dao-procurement-committee-phase-ii-proposal/26441"":{""status"":""not_posted"",""post"":null},""0xb761aeef86e9c7a12a7c7326f28cb10bd0d9d94a83041624dc5d03628c3f5c94-https://forum.arbitrum.foundation/t/rfc-pyth-network-arbitrum-ltipp-extension-request/26533/1"":{""status"":""not_posted"",""post"":null},""0x22f9e560d0a4aac46cc1e49ea71858d531226d0750409acdbfd766fa9c5eb1cb-https://forum.arbitrum.foundation/t/enhancing-multichain-governance-upgrading-rari-governance-token-on-arbitrum/26096"":{""status"":""not_posted"",""post"":null},""0x9db0ec7f1e6dbdaaa472eaabad7c69fac93d4453e01ce04f1971a4cbd3655ba4-https://forum.arbitrum.foundation/t/rfc-synthetix-ltip-grant-extension-request/26524/1"":{""status"":""not_posted"",""post"":null},""0xbe03044e4eeddfe838b719cffe234aced53238da1cef7f3e5e8c2a86aadcccb6-"":{""status"":""not_posted"",""post"":null},""0x785e8ed145d34ab4c9fea725cf0ce31267f90bc2ed4423e6e718c5e736e84c06-https://forum.arbitrum.foundation/t/rfc-aave-dao-ltipp-grant-extension-request/26612"":{""status"":""not_posted"",""post"":null},""0xffe9bb38228fdaf3d121140856fd2d51c2ca7f8e0d1021c07e791cebb541129a-https://forum.arbitrum.foundation/t/constitutional-aip-proposal-to-adopt-timeboost-a-new-transaction-ordering-policy/25167/1"":{""status"":""not_posted"",""post"":null},""0xd05fe5e629072098183d454fb5084715a19d5b3285af2b87c3dad7b61d614954-https://forum.arbitrum.foundation/t/non-constitutional-terms-of-tenure-for-step-program-manager/26675"":{""status"":""not_posted"",""post"":null},""0x8f242363dbc69d640799b461b27ba7b957ab13af87389b699639ba335b8b5e91-"":{""status"":""not_posted"",""post"":null},""0x41bc78325225705741c2eaebd9352bde74c2b28867e1a7321ccab0fa8fd5c2b7-https://forum.arbitrum.foundation/t/govhack-devcon-in-bangkok-hack-humanity/26634"":{""status"":""not_posted"",""post"":null},""0x852b7e7bc83db6c3628695816647bdeb9825d10e445a71dcc94e651b2f8a71b9-https://forum.arbitrum.foundation/t/non-constitutional-funds-to-bolster-foundation-s-strategic-partnerships-budget/26775"":{""status"":""not_posted"",""post"":null}}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
17063,0xb933aee47c438f22de0747d57fc239fe37878dd1,wintermutegovernance.eth,,https://ugc.production.linktr.ee/MfDeSbV1Ryq3IWFBSMqh_rzwF1sTDrxAaqeq1?io=true&size=avatar-v3_0,,FALSE,8927201,[],15.40,77,55.40,2770,0,,"{""score"":""15.00"",""tn"":14,""rn"":14}","{""score"":""25.00"",""tn"":3,""rn"":3}","{""score"":""0.00"",""tn"":17,""rn"":0,""breakdown"":{}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
17043,0x8659d0bb123da6d16d9394c7838ba286c2207d0e,ezr3al.eth,ezr3al.eth,,https://forum.arbitrum.foundation/t/ezr3al-delegate-communication-thread/24833,FALSE,22267,"[""ezr3al""]",5.60,28,55.22,2761,0,,"{""score"":""12.86"",""tn"":14,""rn"":12}","{""score"":""25.00"",""tn"":3,""rn"":3}","{""score"":""11.76"",""tn"":17,""rn"":8,""breakdown"":{""# Funds to bootstrap the first BoLD vali"":{""status"":""not_posted"",""post"":null},""# ARB Staking: Unlock ARB Utility and Al"":{""status"":""not_posted"",""post"":null},""# Delegate to Voter Enfranchisement Pool"":{""status"":""not_posted"",""post"":null},""0x75d1aff7adb317bb629a334fba748fdd6ddac5ba1e64870b8abb4a12d6ed5a6f-https://forum.arbitrum.foundation/t/constitutional-extend-delay-on-l2time-lock/26470"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26470/12""},""0x92b4ac07fbadbb32c30f502880c4dfb1c4882c32d6ae84c2307f9f01dec079c7-"":{""status"":""not_posted"",""post"":null},""0xc6cb49223880ff49077d74260c44845ed18c3a1825a9a3941af454106f700c50-https://forum.arbitrum.foundation/t/delegate-to-a-public-access-public-good-citizen-enfranchisement-pool-through-event-horizon/21523?u=eventhorizondao"":{""status"":""not_posted"",""post"":null},""0x66812a5c91fe5f590965148c76f1ca609fdc5ded722544673c275a3b2ed94549-https://forum.arbitrum.foundation/t/arbitrum-dao-procurement-committee-phase-ii-proposal/26441"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26441/18""},""0xb761aeef86e9c7a12a7c7326f28cb10bd0d9d94a83041624dc5d03628c3f5c94-https://forum.arbitrum.foundation/t/rfc-pyth-network-arbitrum-ltipp-extension-request/26533/1"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26533/13""},""0x22f9e560d0a4aac46cc1e49ea71858d531226d0750409acdbfd766fa9c5eb1cb-https://forum.arbitrum.foundation/t/enhancing-multichain-governance-upgrading-rari-governance-token-on-arbitrum/26096"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26096/30""},""0x9db0ec7f1e6dbdaaa472eaabad7c69fac93d4453e01ce04f1971a4cbd3655ba4-https://forum.arbitrum.foundation/t/rfc-synthetix-ltip-grant-extension-request/26524/1"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26524/20""},""0xbe03044e4eeddfe838b719cffe234aced53238da1cef7f3e5e8c2a86aadcccb6-"":{""status"":""not_posted"",""post"":null},""0x785e8ed145d34ab4c9fea725cf0ce31267f90bc2ed4423e6e718c5e736e84c06-https://forum.arbitrum.foundation/t/rfc-aave-dao-ltipp-grant-extension-request/26612"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26612/15""},""0xffe9bb38228fdaf3d121140856fd2d51c2ca7f8e0d1021c07e791cebb541129a-https://forum.arbitrum.foundation/t/constitutional-aip-proposal-to-adopt-timeboost-a-new-transaction-ordering-policy/25167/1"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25167/3""},""0xd05fe5e629072098183d454fb5084715a19d5b3285af2b87c3dad7b61d614954-https://forum.arbitrum.foundation/t/non-constitutional-terms-of-tenure-for-step-program-manager/26675"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26675/53""},""0x8f242363dbc69d640799b461b27ba7b957ab13af87389b699639ba335b8b5e91-"":{""status"":""not_posted"",""post"":null},""0x41bc78325225705741c2eaebd9352bde74c2b28867e1a7321ccab0fa8fd5c2b7-https://forum.arbitrum.foundation/t/govhack-devcon-in-bangkok-hack-humanity/26634"":{""status"":""not_posted"",""post"":""https://forum.arbitrum.foundation/t/26634/77""},""0x852b7e7bc83db6c3628695816647bdeb9825d10e445a71dcc94e651b2f8a71b9-https://forum.arbitrum.foundation/t/non-constitutional-funds-to-bolster-foundation-s-strategic-partnerships-budget/26775"":{""status"":""not_posted"",""post"":""https://forum.arbitrum.foundation/t/26775/75""}}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
19668,0xeaaed688810e48837c3f48e7ebe062cca9e2a9ab,kuiclub.eth,,,https://forum.arbitrum.foundation/t/kuiclub-delegate-communication-thread/27481,FALSE,681,"[""kuiclub""]",14.00,70,54.00,2700,0,,"{""score"":""15.00"",""tn"":14,""rn"":14}","{""score"":""25.00"",""tn"":3,""rn"":3}","{""score"":""0.00"",""tn"":17,""rn"":0,""breakdown"":{}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
17020,0x2e3bef6830ae84bb4225d318f9f61b6b88c147bf,,Camelot,,,FALSE,12163560,"[""camelot""]",10.60,53,50.60,2530,0,,"{""score"":""15.00"",""tn"":14,""rn"":14}","{""score"":""25.00"",""tn"":3,""rn"":3}","{""score"":""0.00"",""tn"":17,""rn"":0,""breakdown"":{}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
17035,0x70fb66bd5d308d4655cb637ed21d4058e33467d5,,newze,,,FALSE,131884,"[""newze""]",14.80,74,50.51,2525.5,0,,"{""score"":""10.71"",""tn"":14,""rn"":10}","{""score"":""25.00"",""tn"":3,""rn"":3}","{""score"":""0.00"",""tn"":17,""rn"":0,""breakdown"":{}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
17046,0x8e22a4c2901da99777d76f80f29640fc81ae96bb,batteryvc.eth,,,,FALSE,46312,"[""ermia""]",14.80,74,46.63,2331.5,0,,"{""score"":""5.36"",""tn"":14,""rn"":5}","{""score"":""25.00"",""tn"":3,""rn"":3}","{""score"":""1.47"",""tn"":17,""rn"":1,""breakdown"":{""# Funds to bootstrap the first BoLD vali"":{""status"":""not_posted"",""post"":null},""# ARB Staking: Unlock ARB Utility and Al"":{""status"":""not_posted"",""post"":null},""# Delegate to Voter Enfranchisement Pool"":{""status"":""not_posted"",""post"":null},""0x75d1aff7adb317bb629a334fba748fdd6ddac5ba1e64870b8abb4a12d6ed5a6f-https://forum.arbitrum.foundation/t/constitutional-extend-delay-on-l2time-lock/26470"":{""status"":""not_posted"",""post"":null},""0x92b4ac07fbadbb32c30f502880c4dfb1c4882c32d6ae84c2307f9f01dec079c7-"":{""status"":""not_posted"",""post"":null},""0xc6cb49223880ff49077d74260c44845ed18c3a1825a9a3941af454106f700c50-https://forum.arbitrum.foundation/t/delegate-to-a-public-access-public-good-citizen-enfranchisement-pool-through-event-horizon/21523?u=eventhorizondao"":{""status"":""not_posted"",""post"":null},""0x66812a5c91fe5f590965148c76f1ca609fdc5ded722544673c275a3b2ed94549-https://forum.arbitrum.foundation/t/arbitrum-dao-procurement-committee-phase-ii-proposal/26441"":{""status"":""not_posted"",""post"":null},""0xb761aeef86e9c7a12a7c7326f28cb10bd0d9d94a83041624dc5d03628c3f5c94-https://forum.arbitrum.foundation/t/rfc-pyth-network-arbitrum-ltipp-extension-request/26533/1"":{""status"":""not_posted"",""post"":null},""0x22f9e560d0a4aac46cc1e49ea71858d531226d0750409acdbfd766fa9c5eb1cb-https://forum.arbitrum.foundation/t/enhancing-multichain-governance-upgrading-rari-governance-token-on-arbitrum/26096"":{""status"":""not_posted"",""post"":null},""0x9db0ec7f1e6dbdaaa472eaabad7c69fac93d4453e01ce04f1971a4cbd3655ba4-https://forum.arbitrum.foundation/t/rfc-synthetix-ltip-grant-extension-request/26524/1"":{""status"":""not_posted"",""post"":null},""0xbe03044e4eeddfe838b719cffe234aced53238da1cef7f3e5e8c2a86aadcccb6-"":{""status"":""not_posted"",""post"":null},""0x785e8ed145d34ab4c9fea725cf0ce31267f90bc2ed4423e6e718c5e736e84c06-https://forum.arbitrum.foundation/t/rfc-aave-dao-ltipp-grant-extension-request/26612"":{""status"":""not_posted"",""post"":null},""0xffe9bb38228fdaf3d121140856fd2d51c2ca7f8e0d1021c07e791cebb541129a-https://forum.arbitrum.foundation/t/constitutional-aip-proposal-to-adopt-timeboost-a-new-transaction-ordering-policy/25167/1"":{""status"":""not_posted"",""post"":null},""0xd05fe5e629072098183d454fb5084715a19d5b3285af2b87c3dad7b61d614954-https://forum.arbitrum.foundation/t/non-constitutional-terms-of-tenure-for-step-program-manager/26675"":{""status"":""not_posted"",""post"":null},""0x8f242363dbc69d640799b461b27ba7b957ab13af87389b699639ba335b8b5e91-"":{""status"":""not_posted"",""post"":null},""0x41bc78325225705741c2eaebd9352bde74c2b28867e1a7321ccab0fa8fd5c2b7-https://forum.arbitrum.foundation/t/govhack-devcon-in-bangkok-hack-humanity/26634"":{""status"":""not_posted"",""post"":null},""0x852b7e7bc83db6c3628695816647bdeb9825d10e445a71dcc94e651b2f8a71b9-https://forum.arbitrum.foundation/t/non-constitutional-funds-to-bolster-foundation-s-strategic-partnerships-budget/26775"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/26775/49""}}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
17067,0xc37b40abdb939635068d3c5f13e7faf686f03b65,yabir.eth,,,,FALSE,87806,[],13.40,67,44.83,2241.5,0,,"{""score"":""6.43"",""tn"":14,""rn"":6}","{""score"":""25.00"",""tn"":3,""rn"":3}","{""score"":""0.00"",""tn"":17,""rn"":0,""breakdown"":{}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
